,Text ID,Title,Negative,Neutral,Positive,Geopolitical Entities
217,9648,"It Begins: Crowds Mass In Major Cities: DC, LA, NYC, Philly, Portland, More… | Will It Escalate? | “95% Chance Of Widespread Violence”",0.0,0.917,0.083,DC; LA; NYC; Philly; Portland
218,9437,Hillary Fan SLEEPS At Rally! Snoozy Smurf Steals Show! (ABC News) Coconut Creek FLA,0.214,0.66,0.126,Coconut Creek; FLA
222,10548,Joe Giambrone on Hollywood’s Shameless & Underhanded Assault on Political Truth,0.376,0.485,0.139,Hollywood
228,9553,The Anatomy of Crisis and the Decline of US Empire,0.313,0.687,0.0,US
231,7529,Daesh abducts 1000s near Mosul to use them as human shields: UN,0.0,1.0,0.0,Mosul
232,8353,Oregon Standoff Leaders Acquitted For Malheur Wildlife Refuge Takeover,0.0,0.8,0.2,Oregon
236,7253,"Anonymous hacker Deric Lostutter faces 16 years in prison, while Steubenville rapists walk free",0.347,0.502,0.151,Steubenville
245,7863,Hacking Accusations Against Russia Are Sign of Washington's Desperation,0.431,0.569,0.0,Russia; Washington
255,9618,President Putin Asks US To Stop Provoking Russia,0.4,0.6,0.0,US; Russia
264,9738,Alabama Prison Officials Retaliate Against Prison Strike Leader By Cutting Water To Cell,0.516,0.484,0.0,Alabama
265,7410,Re: Texas Police Arrest Trump Voter for Wearing “Deplorable” T-Shirt,0.211,0.789,0.0,Texas
266,5551,"NGOs should condemn terrorists in Syria, not Russia fighting them – Foreign Ministry",0.356,0.532,0.112,Syria; Russia
267,8648,Genetically Modified Crops in U.S. Fail to Deliver Expected Yields,0.28,0.72,0.0,US
271,7938,Green Party’s Margaret Flowers Challenges US Senate Debate in Maryland as Undemocratic [1],0.0,0.902,0.098,US; Maryland
276,9785,Israel: 1984 Everlasting,0.0,1.0,0.0,Israel
277,5485,Georgia Abandons Ukraine's Anti-Russian Obsession - Archil Sikharulidze,0.439,0.561,0.0,Georgia; Ukraine
282,7831,"How Western Media Teleported a Child 'Victim' from Homs to Aleppo (PHOTOS, VIDEO)",0.149,0.851,0.0,Homs; Aleppo
293,6863,Electronic Voting Machines Caught Switching Trump Votes To Hillary: “Trying to Steal Texas” | Survival,0.186,0.814,0.0,Texas
294,10300,"India's Stonehenge: 7,000-Year-Old Megalithic Site is Oldest Observatory in South Asia",0.0,1.0,0.0,India
295,9765,Top US General Pleads With Troops Not To Revolt Over 2016,0.0,0.847,0.153,US
297,6220,BLOOMBERG-BACKED PENNSYLVANIA ATTORNEY GENERAL SENTENCED TO 10-23 MONTHS IN PRISON,0.423,0.577,0.0,PENNSYLVANIA
301,5760,"Russia, India will expand military cooperation with focus on Navy projects | Russia & India Report",0.0,0.867,0.133,Russia; India; Russia; India
305,9302,Syria’s UN Envoy ‘Appalled’ By Rebel Attacks On Civilians In Aleppo,0.333,0.667,0.0,Syria; Aleppo
307,5826,"Report from the Refugee Camp in Calais, France: “the Jungle”",0.0,1.0,0.0,Calais; France
313,10056,"Fifteen years after NATO bombings, Montenegro wants to join NATO",0.0,0.804,0.196,Montenegro
314,9835,"US charges 61 with India-based scam involving 15,000 victims",0.574,0.426,0.0,US; India
315,6787,US: Kurdish Troops Will Be Involved in Invading ISIS Capital of Raqqa,0.0,1.0,0.0,US; Raqqa
317,6752,"A ""Gesture of Thanks"": Turkey arrests terrorists for extradition to Russia",0.391,0.447,0.162,Turkey; Russia
321,9930,Trump Makes Last-Minute Push To Appeal To Whites - The Onion - America's Finest News Source,0.0,1.0,0.0,America
323,5401,Zakharova: Kiev's talk of an armed OSCE mission is disinformation,0.0,1.0,0.0,Kiev
327,5891,Trump’s Twitter Access Revoked - The Onion - America's Finest News Source,0.0,1.0,0.0,America
335,9514,US Airstrike Kills Four Iraqi Troops Near Mosul,0.333,0.667,0.0,US; Mosul
350,9613,This is What Will Happen to Mosul After ISIS is Evicted,0.0,1.0,0.0,Mosul
352,5728,Former Director Of National Budget Warns That Markets Will Tank After US Election,0.104,0.896,0.0,US
356,8421,"Syrian War Report – November 7, 2016: Russian Attack Helicopters Swarm in Homs Province | The Vineyard of the Saker",0.28,0.72,0.0,Homs
366,9381,Wife of Muslim jihadist who killed and wounded over 100 in Orlando nightclub massacre says she “knew nothing”,0.209,0.791,0.0,Orlando
367,6837,Farming Invented Many Times by Many Different Farmers Over A Vast Landscape. @CarlZimmer. @NYTimes. - Russia News Now,0.0,1.0,0.0,Russia
369,6474,Hillary: Leaked Audio of Her Discussing Rigging an Election in Palestine,0.187,0.813,0.0,Palestine
372,5445,"Steve Quayle On Economic Collapse, World War 3 and U S elections",0.415,0.585,0.0,U S
379,7038,US Not Ruling Out Daesh Involvement in Afghanistan Offensive,0.273,0.727,0.0,US; Afghanistan
380,6728,The United States Is Pre-Positioning “Enemy Assets” In Preparation For A Rigged Election,0.153,0.675,0.172,The United States
381,5484,Comment on “This is My Second One” — Virginia Cop Caught Bragging About Killing Two Unarmed People by Jamieson,0.196,0.804,0.0,Virginia
389,6090,Julian Assange Ends The Suspense: “The Source Of Hacked Emails Is Not Russia”,0.184,0.816,0.0,Russia
390,6210,TRUMP TSUNAMI INCOMING: What Trump Did In Florida Today Will Make Him President!,0.0,1.0,0.0,TSUNAMI; Florida
391,8283,Trump’s Star Vandalized On Hollywood Walk Of Fame - The Onion - America's Finest News Source,0.0,0.838,0.162,America
397,8389,Contaminated Food from China Now Entering the U.S. Under the 'Organic' Label,0.0,1.0,0.0,China; US
399,8326,Donald Trump: The next President of the United States of America,0.0,0.781,0.219,the United States of America
406,7114,Turkey Rounds Up Erdogan’s Political Opponents as Crackdown Widens,0.0,1.0,0.0,Turkey
412,7090,Discrimination and Condemnation: Australia’s War on Boat People,0.562,0.438,0.0,Australia
421,7425,It isn’t ‘Islamophobia’ when an Oklahoma GOP State Rep. says “Islam is a cancer in our nation that needs to be cut out”,0.236,0.764,0.0,Oklahoma
422,6880,WELCOME TO PARIS where tour buses have to navigate around all the new Muslim tent cities filling the streets,0.0,0.828,0.172,PARIS
424,6830,US Insiders – Not Russia – Leaked Clinton Emails,0.0,0.803,0.197,US; Russia
428,10439,California & Oregon Want To Secede From The U.S. After Trump Election,0.0,0.894,0.106,California; Oregon; US
431,7304,"Former Miss Finland accuses Trump of sexual assault, bringing number of accusers to 12",0.408,0.524,0.068,Finland
432,10501,United States  Reformation or Fracture?,0.0,0.641,0.359,United States
434,6600,Tiny Homes Banned In U.S. At Increasing Rate As Govt Criminalizes Sustainable Living,0.2,0.8,0.0,US
440,9293,STRANGE THING moving up Alaska’s Chena River caught on video,0.22,0.78,0.0,Alaska
442,5547,"WHAT HAPPENED? In 2014, Quebec tried to pass a Charter that would have banned all religious attire in public, specifically to prevent Muslim women from hiding their faces",0.166,0.799,0.035,Quebec
444,5590,Pentagon: No Plan ‘So Far’ For US Troops to Enter Mosul,0.18,0.82,0.0,US; Mosul
445,5502,Russian pianist Denis Matsuev terrorized in US for supporting Putin,0.273,0.533,0.193,US
454,9303,Town in Wisconsin Passes Law That Fines Parents of Bullies,0.0,1.0,0.0,Wisconsin
455,7200,FBI Investigating New Clinton Emails - The Onion - America's Finest News Source,0.0,1.0,0.0,America
458,7375,Shallow 5.4 magnitude earthquake rattles central Italy; shakes buildings in Rome,0.0,1.0,0.0,Italy; Rome
460,10304,Refugee Resettlement Watch: Swept Away In North Carolina,0.0,1.0,0.0,North Carolina
462,7670,300 US Marines Deployed To Norway Near Russian Border For First Time Since World War II,0.206,0.794,0.0,US; Norway
463,10462,Julian Assange: Why We Published What We Have on the US Elections,0.0,1.0,0.0,US
464,9463,Pakistan expels India diplomat in tit-for-tat move,0.302,0.698,0.0,Pakistan; India
465,10340,News Shot: Detroit Airport Uses New System To Control Travelers,0.0,1.0,0.0,Detroit
469,7210,The President Of The United States of America: Donald J. Trump,0.0,0.781,0.219,The United States of America
472,6167,IT Firm Wins $63Mln US Army Contract in South Korea - NCI,0.0,0.748,0.252,South Korea
484,7222,AUSTRIA: Freedom Party leader calls Chancellor Angela Merkel the “most dangerous woman in Europe”,0.148,0.524,0.329,AUSTRIA
489,9232,I Am A Syrian Living in Syria: “It was Never a Revolution nor a Civil War. The Terrorists are sent by your Government”,0.145,0.743,0.111,Syria
491,7345,Two-time world champion in kickboxing killed in Moscow. Video,0.292,0.455,0.253,Moscow
493,5408,Texas county switches to 'emergency paper ballots',0.302,0.698,0.0,Texas
498,5606,"First Iraqi Troops Enter Mosul, But Fighting Remains Largely in Suburbs",0.245,0.755,0.0,Mosul
499,5753,SHOCK VIDEO : Hillary Needs Help Climbing ONE SINGLE STEP in Florida – TruthFeed,0.185,0.665,0.15,Florida
505,9097,ICE Agent Commits Suicide in NYC; Leaves Note Revealing Gov’t Plans to Round-up & DISARM Americans During Economic & Bank Collapse | EndingFed News Network,0.25,0.714,0.036,NYC
510,6433,"New Company Aims To Explore Intersection Of Technology, Other Thing - The Onion - America's Finest News Source",0.0,1.0,0.0,America
527,7635,U.S. LAWMAKERS RAISE PRIVACY CONCERNS OVER NEW HACKING RULES,0.0,1.0,0.0,US
528,7258,U.S. Currency Hidden Images,0.0,1.0,0.0,US
529,6722,"Monsanto Behind 4-Years-in-the-Making, Failed Peace Deal in Colombia",0.258,0.469,0.273,Monsanto; Colombia
534,7560,"Comment on ‘Voting Is Rigged & Used To Pacify The Public’ Says Three-Time US Presidential Candidate Ron Paul by Anonymous: There Is No One Way To Live On This Planet, But We Can Be Harmonious – Collective Evolution",0.079,0.826,0.094,US
536,5674,"Prime Minister of France says, “if we grant immediate asylum to illegal alien Muslim invaders, by tomorrow they will be speaking French and sharing French values”",0.113,0.721,0.166,France
537,8699,US Presidential Elections Sound a Warning of Catastrophes to Come,0.211,0.789,0.0,US
538,8773,DONALD TRUMP & DEUTSCHE BANK: DID CLINTONS LEAN ON US JUSTICE DEPARTMENT?,0.0,0.727,0.273,US
547,8640,Military op to retake Mosul from ISIS,0.0,1.0,0.0,Mosul
553,8527,Banana Republic Election in the United States?,0.0,0.682,0.318,Banana Republic; the United States
555,5513,"If Donald Trump Wins The Election, It Will Be The Biggest Miracle In US Political History",0.0,0.651,0.349,US
558,5793,"Rebels Escalate Attacks on Western Aleppo, Killing 12 Civilians",0.603,0.397,0.0,Aleppo
560,7015,Saudi Arabia to behead disabled man for taking part in protests,0.16,0.84,0.0,Saudi Arabia
563,10101,Green Party’s Margaret Flowers Challenges US Senate Debate in Maryland as Undemocratic,0.0,0.894,0.106,US; Maryland
572,7221,WIKILEAKS : Hillary Receiving Donations from Radical Muslims in Turkey – TruthFeed,0.0,1.0,0.0,Turkey
576,7794,Juror in Oregon militia trial dismissed for bias: judge,0.149,0.851,0.0,Oregon
578,9280,300 US Marines To Be Deployed To Russian Border In Norway,0.0,1.0,0.0,US; Norway
579,8336,ISIS shoots down Russian helicopter near Palmyra (VIDEO+PHOTOS),0.0,1.0,0.0,Palmyra
581,6887,German Defense Minister warns Donald Trump to stay away from Russia and commit full to NATO,0.077,0.718,0.204,Russia
586,10036,Media Roll Out Welcome Mat for ‘Humanitarian’ War in Syria,0.262,0.537,0.201,Syria
588,8596,"China, Russia, The Silk Road, Commodities, Nixon And A Massive Bull Market In Gold & Silver",0.0,1.0,0.0,China; Russia
602,5420,12 and 63-minute videos: Donald Trump connects to false flag targeting Muslims. Did you really think our ‘masters’ offer anything other than false choice between Left and Right arms of a .01% US rogue state?,0.0,1.0,0.0,US
603,7859,Tribute to the Last Honorable US Senator: The Story of Paul Wellstone’s Suspected Assassination,0.286,0.542,0.172,US
608,8997,UN’s Yemen Peace Plan Would Sideline Former President Hadi,0.0,0.696,0.304,Yemen
610,10023,"Minnesota Man Arrested, Sentenced to 6-Months in Jail for Having a Windmill On His Property",0.244,0.756,0.0,Minnesota
617,5560,"Re: The U.S. Will Lose Global Reserve Status, Expect 80-90% Devaluation Of the U.S. Dollar",0.162,0.838,0.0,US; US
619,5503,"Space Wars Likely In The Future As US, Russia Develop Satellite Weapons",0.394,0.606,0.0,US; Russia
621,8195,The US Elections Do Matter But Not Necessary To Follow Them – Sheikh Imran Hosein,0.0,0.93,0.07,US
628,8275,"Spy Scandals, Globalism and the Betrayal of America",0.538,0.462,0.0,America
642,10144,Biggest Election Fraud In History Discovered In The United States,0.26,0.548,0.192,The United States
643,6178,Duterte Calls US Admin ‘Monkeys’ for Halting Arms Sales,0.0,1.0,0.0,US
644,8736,Malaysia to Buy Ships From China in Another Blow to US Regional Dominance,0.0,0.87,0.13,Malaysia; China; US
647,9698,BREAKING : Trump BEATING “Federal Investigation Hillary” by 4% in Michigan’s Absentee Voting – TruthFeed,0.31,0.69,0.0,Michigan
648,9497,"‘Like Warsaw ghetto’: Attendees attacked, surrounded at Israeli speaker event at London university",0.272,0.728,0.0,Warsaw; London
654,5888,Unprecedented letter from Chair of Joint Chiefs suggests U.S. military does not want a President Hillary,0.075,0.925,0.0,US
655,5943,North Dakota Police Arrest Over 140 Pipeline Protesters,0.417,0.583,0.0,North Dakota
660,10024,Photo of the day: Miss Russia at the international beauty contest in Tokyo,0.098,0.671,0.232,Tokyo
663,7354,Experts Just Uncovered The Top Secret Server Trump Uses To Talk To Russia,0.0,0.87,0.13,Russia
664,5649,Travel: Conor McGregor’s Guide To New York,0.0,1.0,0.0,New York
665,9005,"Kiev officials forced to declare incomes, Ukrainians threaten revolt",0.444,0.556,0.0,Kiev
668,6389,"Reinventing Democracy in America Starts by Voting, Then Building an Accountability Movement",0.0,1.0,0.0,America
669,9227,PressTV-Huge blast kills 47 in Pakistan's Balochistan,0.368,0.632,0.0,Pakistan; Balochistan
672,9261,"United States – reformation or fracture?, by Thierry Meyssan",0.0,0.741,0.259,United States
673,9335,British PM Refuses To Withdraw Support For Saudi Arabia,0.0,0.748,0.252,Saudi Arabia
676,8196,Voter Dreading Being Sent Over To Visibly Stupid Poll Worker - The Onion - America's Finest News Source,0.298,0.702,0.0,America
677,8391,North Korea Threatens ‘Sacred’ Nuclear War Against Israel if this country continue supporting ISIS,0.319,0.539,0.142,North Korea; Israel
681,10429,"US Officials, FBI See No Link Between Trump and Russia",0.196,0.804,0.0,US; Russia
683,8077,Anyone from the family who can understand what I speak will be appointed as UP CM: Mulayam Singh,0.0,1.0,0.0,UP
686,5604,Benny Morris’s Untenable Denial of the Ethnic Cleansing of Palestine,0.0,1.0,0.0,Palestine
689,8830,'America Has Lost' in the Philippines as Duterte Calls for Alliance with Russia and China - Pepe Escobar,0.119,0.881,0.0,America; Philippines; Russia; China
690,7998,California's Death Penalty: Mike Ramos v. Kevin Cooper and Proposition 62,0.434,0.566,0.0,California
695,9166,Russia And Syria Blamed For Idlib Bombing Hoax,0.464,0.536,0.0,Russia; Syria; Idlib
699,9211,"Shiite militia says it is close to Tal Afar, which Turkey has warned is off limits",0.123,0.877,0.0,Turkey
702,6813,Condell: America’s Moment Of Truth,0.0,0.635,0.365,America
703,8398,SATAN 2: Russia unvelis an image of its terrifying new ‘SUPERNUKE’ – Western world takes notice,0.198,0.802,0.0,Russia
711,8995,Re: Rights? In The New America You Don’t Get Any Rights!,0.0,1.0,0.0,America
712,8369,OPEC Fails to Agree as U.S. Energy Industry Ramps Up,0.194,0.486,0.319,US
713,9633,WW3 Nuclear War Drills World War 3 To Start In Ukraine,0.464,0.536,0.0,Ukraine
724,10069,Kurds Worried Turkey Will Stab Them in the Back as They Fight ISIS,0.462,0.538,0.0,Turkey
726,5828,Make America Vote Again,0.0,1.0,0.0,America
730,7636,U.S. militia girds for trouble as presidential election nears,0.252,0.748,0.0,US
740,5581,Comment on 65 US ‘journalists’ at a private dinner with Hillary Clinton’s team and John Podesta by Debbie Menon,0.0,1.0,0.0,US
743,5860,Soros Paid Al Gore MILLIONS to Push ‘Aggressive US Action’ on Global Warming,0.0,0.882,0.118,US
755,8999,America's Trump supporters may be lured to Florida and walled in by US government to maintain peaceful transfer of power after election.,0.0,0.766,0.234,America; Florida; US
758,10128,Tennessee Children with Brittle Bones Suffer in State Care as Mom Charged with SBS,0.272,0.564,0.164,Tennessee
766,7268,Former US Attorney for DC: New Hillary Email Probe Was Result of ‘Revolt’ Inside FBI,0.0,1.0,0.0,US; DC
772,9620,Trump Victory Necessary to Get US Into World War?,0.328,0.672,0.0,US
778,9617,CONFIRMED: Russia deploys Kuznetsov aircraft carrier to defend Syrian coast,0.0,1.0,0.0,Russia
780,8851,"Area Liberal No Longer Recognizes Fanciful, Wildly Inaccurate Mental Picture Of Country He Lives In - The Onion - America's Finest News Source",0.091,0.909,0.0,America
781,6279,When Charlottesville Was Nuked,0.0,1.0,0.0,Charlottesville
782,6479,Comment on Seattle council member proposes a MASSIVE fee hike for pot shops by Steven Broiles,0.0,1.0,0.0,Seattle
787,6333,Solar-powered Pipe desalinates 1.5 billion gallons of drinking water a year for California,0.0,1.0,0.0,California
792,5289,President al-Assad: United States and its Western allies are to blame for failure of latest ceasefire,0.265,0.605,0.13,United States
800,5614,BREAKING : Wikileaks Reveals More Clinton “Quid Pro Quo” – Bill Meets With Saudi Prince in D.C.,0.0,1.0,0.0,DC
807,10284,The Circus of Liars - America's Three Rings of Evil Clowns,0.464,0.536,0.0,America
822,9826,Australia to hunt down anti-vax nurses and prosecute them for disobeying the medical police state,0.162,0.838,0.0,Australia
828,7175,Two More Hollywood Films For Men That Leave Today’s SJW Movies In The Dust,0.085,0.915,0.0,Hollywood
832,7829,"Saudi Arabia Re-Elected, Russia Loses UN Human Rights Council Place",0.204,0.796,0.0,Saudi Arabia; Russia
835,5522,Iraqis in Mosul Find US Missiles at Captured Islamic State Base,0.0,1.0,0.0,Mosul; US
838,7445,The Deteriorating Situation in Ethiopia,0.0,1.0,0.0,Ethiopia
841,9038,Whose Side Is Russia On In Syria?,0.0,1.0,0.0,Russia; Syria
845,9278,Trump Allows 3 Million People To Escape US,0.0,0.805,0.195,US
852,9494,Venezuela crisis enters dangerous phase as Maduro foes go militant,0.593,0.407,0.0,Venezuela
859,6066,Colorado Cannabis Industry Contributes More to Economy Than All Other Industries: Report,0.0,1.0,0.0,Colorado
862,8886,Billionaire: “Single Digit Millionaires” Are Too Poor to Get Justice In America,0.188,0.606,0.206,America
865,8235,Saudi’s threaten OPEC oil freeze over Iran row,0.265,0.612,0.122,Iran
866,7079,Tsunami Hits New Zealand After Massive 7.8 Earthquake Strikes,0.238,0.762,0.0,New Zealand
867,9296,"Is the US a banana republic? - Putin [Valdai, Part 1 of 1]",0.0,1.0,0.0,US
869,5648,"To Survive, Evolve - Russia News Now",0.0,1.0,0.0,Russia
872,9116,"TRUTH: No Apartheid in Israel, Says Black South African Politician",0.166,0.605,0.229,Israel
874,5991,"AMAZING VIDEO : Hispanics for Trump in Miami Storm the Polls, HORNS BLASTING, Shouting “USA! TRUMP!” – TruthFeed",0.0,0.769,0.231,Miami; USA
877,7339,"Iran, Finland sign 4 MoUs in Tehran",0.0,1.0,0.0,Iran; Finland; Tehran
882,6833,"Strong 5.4 Magnitude Quake Hits Central Italy, Rattles Rome",0.0,0.708,0.292,Rome
885,8215,Pakistan: Long arm of ISI needs unsheathing,0.0,1.0,0.0,Pakistan
886,9153,"Why Everyone on Facebook Is Checking into Standing Rock, North Dakota",0.0,1.0,0.0,Standing Rock; North Dakota
892,8838,Romania Points Out Flaws With U.S. Election To Encourage Citizens To Vote,0.0,0.769,0.231,Romania; US
896,10116,"Trump Tells GOP Rally In Jerusalem He’ll ‘Make Israel, U.S. Safe Again’",0.0,0.791,0.209,Jerusalem; Israel; US
897,7061,Former U.S. Treasury Secretary Just Warned Trump Could Be Assassinated,0.176,0.672,0.151,US
902,9577,TRUMPED! LIBERAL NEWS OUTLET BLOOMBERG POLL CONCEDES TRUMP BEATING CROOKED HILLARY IN FLORIDA,0.215,0.785,0.0,FLORIDA
913,8794,Poland Establishing New Territorial Defense Force to Fight ‘Russian Threat’,0.215,0.661,0.124,Poland
921,10546,Hillary Clintons election fraud finally exposed. California stolen from Bernie Sanders!,0.518,0.482,0.0,California
923,6211,"In hats and t-shirts, Trump fans rally in Jerusalem’s Old City",0.0,1.0,0.0,Jerusalem
926,8343,Lower Yields and Agropoisons: What is the Point of GM Mustard in India?,0.155,0.845,0.0,India
930,9818,Hillary Ally Offers Strategy On How To Make New York Times Write Positive Coverage,0.0,0.783,0.217,New York
941,9333,Mourning in America—A “Patriot Spring” In Europe?,0.326,0.674,0.0,America
942,5396,BREAKING: AP Finds Proof Melania Trump Illegally Worked In U.S. PRIOR To Getting Work Visa,0.0,1.0,0.0,US
944,5752,America’s Senator Jeff Sessions Warns of Worsening Pre-Election Border Anarchy,0.355,0.645,0.0,America
957,9132,SECRET RECORDINGS FUELED FBI FEUD IN CLINTON PROBE,0.255,0.745,0.0,CLINTON
962,7615,Economic Racial Disparity in North Carolina,0.0,1.0,0.0,North Carolina
965,8816,Paris Migrant Campers Increase after Calais Is Shut,0.0,0.753,0.247,Paris; Calais
968,5944,Comment on “Isolated Incident” Every Police Dept in America Failed to Meet Minimum Standard for Use of Force by Isaid Dilligaf,0.142,0.858,0.0,America
969,7919,"Report: Russian, U.S. Jets Have Close Encounter Over Syria",0.0,1.0,0.0,Syria
972,8149,Britain looking forward to bonfire night because it can’t afford to put the heating on,0.0,1.0,0.0,Britain
975,6718,"George Soros begins his color revolution in America, as MoveOn “activists” march against Trump",0.0,1.0,0.0,America
977,8470,The Amish In America Commit Their Vote To Donald Trump; Mathematically Guaranteeing Him A Presidential Victory - ABC News,0.0,0.891,0.109,America
986,6094,"Hillary Clinton’s Elections 2016 concession speech from New York (FULL, streamed live)",0.0,1.0,0.0,New York
995,5542,Russia stops shipping Soyuz space rockets to France,0.186,0.814,0.0,Russia; France
1002,10089,BARBARIANS AT THE GATE: Muslims from Morocco keep breaking into Spain,0.0,1.0,0.0,Morocco; Spain
1004,9143,Israel: Ancient Papyrus Proves Jerusalem Belongs to Israel,0.0,1.0,0.0,Israel; Jerusalem; Israel
